   CPU,   MEAN,    STD, 
   knn,  0.015,  0.047, 
  mean, -0.050,   0.19, 
   dom,  0.063,   0.20, 
   reg, -0.045,   0.18, 
  diff,  0.061,   0.21, 
   dk2, -0.0070,  0.075, 
   med,  -0.11,   0.18, 
    dk, -0.024,  0.077, 
   CPU,   MEAN,    STD, 
   reg,  0.033,  0.093, 
   dk2, -0.017,  0.050, 
   dom,  0.013,  0.059, 
    dk, -0.010,  0.071, 
   knn, -0.043,  0.089, 
  diff,   0.15,   0.35, 
   med, -0.060,  0.083, 
  mean,  0.019,  0.079, 
   CPU,   MEAN,    STD, 
   dom,  0.051,   0.19, 
    dk, -0.0060,   0.13, 
   med, -0.055,   0.18, 
   knn, -0.0014,   0.14, 
  diff,  0.035,   0.19, 
   dk2, -0.014,   0.12, 
   reg, 0.0049,   0.15, 
  mean, 0.00051,   0.18, 
