   HDI,   MEAN,    STD, 
   knn,   0.11,   0.16, 
  mean,   0.11,   0.11, 
   dom,  0.025,   0.16, 
   reg,  0.027,  0.093, 
  diff,  0.025,   0.16, 
   dk2, -0.0017,   0.14, 
   med,   0.15,   0.10, 
    dk, 0.0041,   0.12, 
   HDI,   MEAN,    STD, 
   reg, 0.0050,  0.086, 
   dk2, -0.0062,   0.11, 
   dom,  0.022,   0.12, 
    dk, -0.0049,   0.10, 
   knn,  0.046,   0.15, 
  diff,  0.022,   0.12, 
   med,  0.053,   0.13, 
  mean,  0.015,   0.13, 
   HDI,   MEAN,    STD, 
   dom, -0.0070,   0.13, 
    dk, 0.0058,   0.13, 
   med,  0.047,   0.19, 
   knn, 0.0020,   0.15, 
  diff, -0.0070,   0.13, 
   dk2, -0.0039,   0.13, 
   reg, 0.00065,   0.12, 
  mean, 0.0011,   0.19, 
