     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   72.,    5.0,   0.43, -0.041,      i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   49.,    5.0,   0.17,  0.072,      i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   25.,    3.0,   0.28, -0.0035,      i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   41.,    4.0,   0.35,  0.036,      i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   16.,    2.0,   0.50, -0.011,  -0.24,  -0.16,  -0.19, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   0.0,    0.0,   0.17, -0.016, -0.054,  0.067,  0.024, 
   3.0,    5.0,   0.26, -0.029, -0.029,  0.058,  0.028, 
   95.,    3.0,   0.74,  0.016,   -1.6,  -0.40,  -0.44, 
   3.0,    3.0,   0.28, -0.0035,  -0.13,  0.055,  0.019, 
   90.,    1.0,   0.60, -0.085,  -0.82,  -0.33,  -0.37, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   91.,    5.0,   0.22, -0.061, -0.061,  0.095,  0.064, 
   68.,    0.0,   0.13, -0.0019,   0.30,   0.10,  0.061, 
   93.,    1.0,   0.19, 0.00088, 0.00088,  0.087,  0.052, 
   44.,    3.0,   0.55, -0.031,  -0.80,  -0.22,  -0.25, 
   18.,    1.0,   0.16, -0.0054,  -0.33,   0.11,  0.077, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   34.,    3.0,   0.45, -0.013,  -0.60,  -0.11,  -0.15, 
   58.,    3.0,   0.27, -0.023, -0.033,  0.070,  0.034, 
   92.,    1.0,    0.0, -0.012,   0.19,   0.28,   0.24, 
   19.,    2.0,   0.40,  0.027, -0.078, -0.062,  -0.10, 
   19.,    3.0,   0.36, -0.033,  -0.23, -0.027, -0.064, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   86.,    2.0,   0.40, -0.0034, -0.0034, -0.056, -0.095, 
   94.,    1.0,   0.34,  0.044,  -0.56, -0.067,  -0.11, 
   42.,    4.0,   0.41,  0.080,  0.080,   0.13,   0.12, 
   72.,    4.0,    1.0,  -0.10,   0.45,  -0.47,  -0.48, 
   76.,    1.0,   0.34, -0.022,  -0.44, -0.071,  -0.11, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   74.,    0.0,   0.31,  0.063,  -0.35, -0.076,  -0.12, 
   21.,    0.0,   0.30,  0.064,  0.064, -0.071,  -0.11, 
   8.0,    0.0,   0.18, -0.015, -0.015,  0.050, 0.0080, 
   50.,    3.0,   0.27, 0.0067, -0.017,  0.070,  0.034, 
   56.,    3.0,   0.18,  0.031,  0.031,   0.16,   0.12, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   15.,    3.0,   0.32, -0.062, -0.095,  0.019, -0.018, 
   99.,    3.0,   0.33, -0.051, -0.051, 0.0063, -0.031, 
   15.,    3.0,   0.32, -0.062, -0.095,  0.019, -0.018, 
   38.,    3.0,   0.51, -0.0081, -0.011,  -0.17,  -0.21, 
   34.,    1.0,    0.0, -0.012,   0.15,   0.28,   0.24, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   61.,    3.0,   0.25,  0.014,  0.014,  0.091,  0.055, 
     i,      c,     ev, lay_all, lay_guess,   mean,    med, 
   19.,    3.0,   0.30, -0.0092, -0.029,  0.035, -0.0030, 
         i,          c,         ev,    lay_all,  lay_guess,       mean,        med, 
   93.0000,    5.00000,   0.317000, -0.0199440, -0.0199440, -0.000383838, -0.0320000, 
         i,          c,         ev,    lay_all,  lay_guess,       mean,        med, 
   40.0000,    0.00000,   0.105000, 0.00943393, 0.00943393,   0.128222,  0.0850000, 
